N matrix d Alg throughput
16 random-skewed-16 8 Floor 0.705
16 random-skewed-16 8 Rounding 0.7575000000000001
16 random-skewed-16 8 Circle 0.13277662037292962
16 random-skewed-16 10 RRG 0.5896990637226807
16 random-skewed-16 10 Floor 0.7625000000000001
16 random-skewed-16 10 Rounding 0.7975000000000001
16 random-skewed-16 10 Circle 0.13277662037293234
16 random-skewed-16 12 RRG 0.6145799032966253
16 random-skewed-16 12 Floor 0.7925
16 random-skewed-16 12 Rounding 0.8200000000000001
16 random-skewed-16 12 Circle 0.13277662037293214
16 random-skewed-16 14 RRG 0.6294232141958643
16 random-skewed-16 14 Floor 0.8175000000000001
16 random-skewed-16 14 Rounding 0.835
16 random-skewed-16 14 Circle 0.13277662037293234
16 skew-16-0.1 4 RRG 0.4892084136925379
16 skew-16-0.1 4 Floor 0.49
16 skew-16-0.1 4 Rounding 0.5025
